更新时间 2024-05-13

💘中央,#genre#
CCTV-6,http://zqjy.info/tv/NjcwNjg4
CCTV-6,http://zqjy.info/tv/NzY2ODgz
CCTV-6,http://zqjy.info/tv/NzYwNjIx
CCTV-6,http://zqjy.info/tv/NzYzODky
CCTV-6,http://zqjy.info/tv/NzYzODk1
CCTV-6 HD,http://zqjy.info/tv/NzY2MDE4
CCTV-7 (1080p),http://zqjy.info/tv/NzUxODc2
CCTV-7 (1080p),http://zqjy.info/tv/NjgyOTM2
CCTV-7,http://zqjy.info/tv/NzY1NDEy
CCTV-7,http://zqjy.info/tv/NzYzNzMz
CCTV-7,http://zqjy.info/tv/NzYwNjI5
CCTV-7,http://zqjy.info/tv/NzU4NTE2
CCTV-7,http://zqjy.info/tv/NzU4NTE3
CCTV-8 (1080p),http://zqjy.info/tv/NzUxNjQ2
CCTV-8 (1080p),http://zqjy.info/tv/NzQ5NTg2
CCTV-8 (1080p),http://zqjy.info/tv/NjgyOTMy
CCTV-8,http://zqjy.info/tv/NzYzNzM0
CCTV-8,http://zqjy.info/tv/NzYzNzA5
CCTV-8,http://zqjy.info/tv/NzYzNTcz
CCTV-8,http://zqjy.info/tv/NzYzMTE4
CCTV-8,http://zqjy.info/tv/NzYyOTEy
CCTV-9,http://zqjy.info/tv/NzY2NTI3
CCTV-9,http://zqjy.info/tv/NzYzNzM1
CCTV-9,http://zqjy.info/tv/NzIwOTgz
CCTV-9,http://zqjy.info/tv/NzU2NzE2
CCTV-9,http://zqjy.info/tv/NzQ4MTQ1
CCTV-9 (1080p),http://zqjy.info/tv/NzUxNjQ3
CCTV-9纪录 (1080p),http://zqjy.info/tv/NzQ5NTg3
CCTV-9纪录 (1080p),http://zqjy.info/tv/NjY4NjA4
CCTV-10 (1080p),http://zqjy.info/tv/NzUxODcx
CCTV-10,http://zqjy.info/tv/NzYzNzM2
CCTV-10,http://zqjy.info/tv/NzYzNzkw
CCTV-10,http://zqjy.info/tv/NzQxMjYw
CCTV-10,http://zqjy.info/tv/NzU2NzE3
CCTV-10,http://zqjy.info/tv/NzQ4MTQ2
CCTV-11戏曲,http://221.2.146.228:8888/newlive/live/hls/12/live.m3u8
CCTV-11戏曲,http://180.97.247.27/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel41/index.m3u8
CCTV-11戏曲,http://36.96.38.246:8888/newlive/live/hls/13/live.m3u8
CCTV-12社会与法,http://61.170.80.218/liveali-tpgq.cctv.cn/live/cctv12.m3u8
CCTV-12社会与法,http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv12.m3u8
CCTV-12社会与法,https://iptv.luas.edu.cn/liverespath/fb84bde1de15cdb0308a7910cebc0497594ae94e/e2d8885f42-0-0-6e1f55986652ba786606a116c5cc0775/index.m3u8
CCTV-13新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8?auth_key=1635962688
CCTV-13新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-13新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8?auth_key=1635962688
CCTV-13新闻,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226717/1.m3u8
CCTV-14少儿,http://61.170.80.218/liveali-tpgq.cctv.cn/live/cctv14.m3u8
CCTV-14少儿,http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv14.m3u8
CCTV-14少儿,http://180.97.247.27/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel12/index.m3u8
CCTV-14少儿,http://mqiptv.com:8014/ch/cctv14/mqlive.m3u8
CCTV-15音乐,http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv15.m3u8
CCTV-15音乐,http://111.207.22.10:8888/newlive/live/hls/17/live.m3u8
CCTV-15音乐,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/cctv15hd8m/8000000/mnf.m3u8
CCTV-15音乐,http://180.97.247.27/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel40/index.m3u8


📺卫视,#genre#
湖南卫视,http://64.140.167.170:8080/live/ydws5/hls.m3u8
湖南卫视,http://tvbox.netsite.cc/proxy/823956387/823956387.m3u8
湖南卫视,http://110.178.52.190:8083/udp/239.1.1.28:8028
湖南卫视,https://node1.olelive.com:6443/live/HUNANHD/hls.m3u8

浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://tvbox.netsite.cc/proxy/1076829733/1076829733.m3u8
浙江卫视,http://tvbox.netsite.cc/proxy/1562317673/1562317673.m3u8
浙江卫视,http://64.140.167.170:8080/live/ydws7/hls.m3u8


深圳卫视,http://tvbox.netsite.cc/proxy/846832031/846832031.m3u8


东方卫视,http://64.140.167.170:8080/live/ydws2/hls.m3u8
东方卫视,http://36.248.223.25/sx.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292403.m3u8
东方卫视,http://125.210.150.58:9090/live/hzgq-dftvgq-h264.m3u8

星空卫视,http://171.108.239.76:8181/tsfile/live/1012_1.m3u8
星空卫视,http://vl15191373.imwork.net:8880/udp/239.93.0.156:2193
星空卫视,http://183.237.246.14:9931/tsfile/live/1039_1.m3u8
星空卫视,http://119.34.189.27:33333/udp/224.1.100.13:11111

辽宁卫视,http://36.248.223.25/sx.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000281303.m3u8
辽宁卫视,http://tvbox.netsite.cc/proxy/1767807342/1767807342.m3u8
辽宁卫视,https://node1.olelive.com:6443/live/LIAONINGHD/hls.m3u8

湖北卫视,http://tvbox.netsite.cc/proxy/1513765070/1513765070.m3u8
湖北卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000294503.m3u8
湖北卫视,http://117.44.0.239:20000/hls/79/index.m3u8

北京卫视,http://64.140.167.170:8080/live/bjws/hls.m3u8
北京卫视,http://36.248.223.25/sx.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000272103.m3u8
北京卫视,http://125.210.150.58:9090/live/hzgq-bjgqws-h264.m3u8

河北卫视,http://117.10.59.110:8888/newlive/live/hls/48/live.m3u8
河北卫视,http://tvbox.netsite.cc/proxy/866823714/866823714.m3u8
河北卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000293403.m3u8

河南卫视,http://tvbox.netsite.cc/proxy/1555831884/1555831884.m3u8
河南卫视,http://36.248.223.25/sx.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000296103.m3u8
河南卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000044BESTVSMGSMG/index.m3u8?m3u8_level=2

陕西卫视,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel55/index.m3u8
陕西卫视,http://tvbox.netsite.cc/proxy/917851306/917851306.m3u8
陕西卫视,http://61.52.157.85:808/hls/51/index.m3u8

安徽卫视,http://64.140.167.170:8080/live/ydws9/hls.m3u8
安徽卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN3540416BESTVSMGSMG/index.m3u8?m3u8_level=2

东南卫视,http://64.140.167.170:8080/live/ydws11/hls.m3u8
东南卫视,http://tvbox.netsite.cc/proxy/605886267/605886267.m3u8
东南卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292503.m3u8

凤凰卫视,http://tvbox.netsite.cc/proxy/1650326537/1650326537.m3u8
凤凰卫视,http://64.140.167.170:8080/live/xsjgat2/hls.m3u8

凤凰卫视资讯台,http://120.41.124.228:8888/rtp/239.61.2.183:9086
凤凰卫视资讯台,http://27.153.80.205:4022/rtp/239.61.2.183:9086
凤凰卫视资讯台,http://27.154.214.56:8888/rtp/239.61.2.183:9086

凤凰卫视中文台,http://27.158.23.203:9999/rtp/239.61.2.184:9092
凤凰卫视中文台,http://183.142.58.150:8888/rtp/233.50.200.191:5140


